uhn	draft	vote	urban	gender	age	party
1004	"Don't Know"	"Not sure"	"Rural"	"Male"	40	"chadema"
1006	"Final draft"	"Not sure"	"Rural"	"Male"	28	"ccm"
1007	"Final draft"	"Don't Know"	"Rural"	"Male"	41	"ccm"
1008	"CRC draft"	"Vote for"	"Rural"	"Male"	49	"ccm"
1009	"CRC draft"	"Vote for"	"Rural"	"Female"	34	"chadema"
1010	"Final draft"	"Vote against"	"Rural"	"Female"	61	"ccm"
1012	"CRC draft"	"Vote against"	"Rural"	"Male"	36	"cuf"
1102	"CRC draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
1103	"None"	"I am not going to vote"	"Rural"	"Male"	40	
1104	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	47	"ccm"
1105	"Don't Know"	"Vote against"	"Rural"	"Male"	42	"ccm"
1108	"Don't Know"	"Vote for"	"Rural"	"Male"	41	
1110	"Final draft"	"Vote against"	"Rural"	"Male"	51	"ccm"
1201	"CRC draft"	"Vote for"	"Urban"	"Male"	48	" refused"
1202	"CRC draft"	"Vote against"	"Urban"	"Male"	37	
1203	"CRC draft"	"Vote against"	"Urban"	"Male"	28	"ccm"
1204	"Final draft"	"Vote for"	"Urban"	"Male"	36	
1205	"CRC draft"	"Vote for"	"Urban"	"Male"	25	"ccm"
1206	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	31	"chadema"
1207	"Don't Know"	"Vote for"	"Urban"	"Female"	49	"ccm"
1208	"CRC draft"	"Vote for"	"Urban"	"Male"	30	" none"
1209	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	52	"i don't"
1210	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	40	"chadema"
1301	"Final draft"	"Vote for"	"Rural"	"Male"	45	
1302	"Final draft"	"Vote against"	"Rural"	"Female"	23	"chadema"
1303	"CRC draft"	"Not sure"	"Rural"	"Male"	35	"ccm"
1304	"Final draft"	"Vote for"	"Rural"	"Female"	43	"ccm"
1305	"CRC draft"	"Vote for"	"Rural"	"Female"	33	"chadema"
1306	"None"	"Vote for"	"Rural"	"Male"	49	"ccm"
1308	"Don't Know"	"Vote against"	"Rural"	"Female"	42	" none"
1309	"CRC draft"	"Vote for"	"Rural"	"Female"	32	"ccm"
1310	"Final draft"	"Vote against"	"Rural"	"Female"	33	"ccm"
1401	"Final draft"	"Vote for"	"Urban"	"Male"	33	"chadema"
1402	"Final draft"	"Vote for"	"Urban"	"Female"	25	"ccm"
1404	"Final draft"	"Vote for"	"Urban"	"Male"	52	" none"
1405	"CRC draft"	"Vote for"	"Urban"	"Male"	45	"ccm"
1406	"CRC draft"	"Vote for"	"Urban"	"Male"	38	" none"
1407	"CRC draft"	"Vote against"	"Urban"	"Female"	33	" none"
1408	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	26	"chadema"
1409	"CRC draft"	"Vote against"	"Urban"	"Female"	29	" none"
1410	"Final draft"	"Vote for"	"Urban"	"Male"	26	"ccm"
1501	"Don't Know"	"I am not going to vote"	"Urban"	"Male"	46	"ccm"
1502	"CRC draft"	"Vote for"	"Urban"	"Female"	53	"chadema"
1503	"Final draft"	"Vote for"	"Urban"	"Male"	30	"tlp"
1505	"Final draft"	"Vote for"	"Urban"	"Male"	51	" none"
1506	"None"	"Vote against"	"Urban"	"Male"	38	"nccr-mag"
1508	"Final draft"	"Vote for"	"Urban"	"Female"	34	"chadema"
1509	"CRC draft"	"Vote for"	"Urban"	"Female"	36	"chadema"
1510	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	34	"ccm"
1601	"Final draft"	"Vote for"	"Rural"	"Male"	48	"chadema"
1603	"Final draft"	"Not sure"	"Rural"	"Male"	48	
1604	"CRC draft"	"Vote against"	"Rural"	"Male"	37	"chadema"
1605	"Don't Know"	"Vote against"	"Rural"	"Male"	43	"cuf"
1606	"None"	"I am not going to vote"	"Rural"	"Male"	30	"chadema"
1607	"Final draft"	"Vote for"	"Rural"	"Male"	42	"cuf"
1609	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	33	"chadema"
1610	"CRC draft"	"Don't Know"	"Rural"	"Male"	36	"chadema"
1701	"None"	"I am not going to vote"	"Rural"	"Female"	40	"chadema"
1702	"Final draft"	"Vote for"	"Rural"	"Female"	48	"ccm"
1703	"None"	"Don't Know"	"Rural"	"Female"	33	"i don't"
1704	"Don't Know"	"Not sure"	"Rural"	"Male"	34	"chadema"
1705	"CRC draft"	"Vote for"	"Rural"	"Male"	50	"ccm"
1706	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"chadema"
1708	"Don't Know"	"Vote for"	"Rural"	"Female"	34	"chadema"
1709	"CRC draft"	"Vote for"	"Rural"	"Male"	41	"chadema"
1710	"CRC draft"	"Vote against"	"Rural"	"Male"	43	"ccm"
1803	"CRC draft"	"Vote for"	"Rural"	"Male"	32	"ccm"
1804	"Final draft"	"Vote for"	"Rural"	"Female"	31	"ccm"
1807	"Final draft"	"Vote for"	"Rural"	"Male"	54	"chadema"
1901	"Don't Know"	"Vote against"	"Rural"	"Female"	33	"chadema"
1902	"CRC draft"	"Vote against"	"Rural"	"Female"	51	"chadema"
1903	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	55	"ccm"
1904	"CRC draft"	"Vote for"	"Rural"	"Male"	36	"ccm"
1905	"Final draft"	"Vote for"	"Rural"	"Female"	52	"ccm"
1906	"Final draft"	"Vote for"	"Rural"	"Female"	21	
1907	"CRC draft"	"Vote for"	"Rural"	"Male"	47	"ccm"
1909	"CRC draft"	"Vote against"	"Rural"	"Female"	70	"ccm"
1910	"Final draft"	"Vote for"	"Rural"	"Male"	38	
2002	"Final draft"	"Vote for"	"Rural"	"Male"	23	"chadema"
2003	"CRC draft"	"Vote for"	"Rural"	"Male"	19	"chadema"
2004	"CRC draft"	"Vote for"	"Rural"	"Male"	62	" refused"
2006	"CRC draft"	"Vote against"	"Rural"	"Male"	33	"chadema"
2008	"Don't Know"	"Vote for"	"Rural"	"Male"	50	"chadema"
2009	"CRC draft"	"Vote against"	"Rural"	"Male"	55	"chadema"
2012	"Final draft"	"Not sure"	"Rural"	"Female"	70	
2101	"CRC draft"	"Vote for"	"Rural"	"Male"	44	"ccm"
2102	"CRC draft"	"Vote against"	"Rural"	"Male"	52	"ccm"
2103	"Final draft"	"Not sure"	"Rural"	"Male"	40	"chadema"
2104	"CRC draft"	"Vote against"	"Rural"	"Female"	42	"ccm"
2105	"Final draft"	"Vote against"	"Rural"	"Female"	44	"ccm"
2106	"CRC draft"	"Vote for"	"Rural"	"Female"	45	"tlp"
2107	"Don't Know"	"Vote for"	"Rural"	"Male"	55	
2108	"CRC draft"	"Vote against"	"Rural"	"Male"	47	"chadema"
2112	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	60	" none"
2201	"Final draft"	"Vote for"	"Rural"	"Female"	33	"ccm"
2203	"CRC draft"	"Vote against"	"Rural"	"Male"	32	"ccm"
2204	"CRC draft"	"Vote against"	"Rural"	"Male"	80	" none"
2205	"CRC draft"	"Vote for"	"Rural"	"Female"	40	
2206	"CRC draft"	"Vote against"	"Rural"	"Male"	68	"ccm"
2207	"CRC draft"	"Vote for"	"Rural"	"Male"	44	"ccm"
2208	"Final draft"	"I am not going to vote"	"Rural"	"Female"	28	"ccm"
2209	"CRC draft"	"Vote for"	"Rural"	"Male"	26	"ppt-maen"
2210	"CRC draft"	"Vote for"	"Rural"	"Female"	38	"ccm"
2211	"CRC draft"	"Vote for"	"Rural"	"Female"	42	"chadema"
2301	"CRC draft"	"Vote for"	"Rural"	"Male"	44	"chadema"
2302	"CRC draft"	"Vote against"	"Rural"	"Male"	59	" none"
2303	"CRC draft"	"Vote against"	"Rural"	"Male"	24	"chadema"
2304	"CRC draft"	"Vote against"	"Rural"	"Female"	43	"chadema"
2305	"Final draft"	"Vote for"	"Rural"	"Female"	54	"ccm"
2306	"CRC draft"	"Vote against"	"Rural"	"Male"	35	"chadema"
2308	"Don't Know"	"Vote against"	"Rural"	"Female"	57	"ccm"
2309	"CRC draft"	"Vote for"	"Rural"	"Male"	24	"chadema"
2401	"CRC draft"	"Vote against"	"Rural"	"Female"	20	" none"
2402	"CRC draft"	"Vote for"	"Rural"	"Female"	35	"chadema"
2403	"Final draft"	"Vote for"	"Rural"	"Male"	18	"tlp"
2404	"Final draft"	"Vote for"	"Rural"	"Male"	48	"ccm"
2406	"Final draft"	"Vote for"	"Rural"	"Male"	35	"ccm"
2407	"CRC draft"	"Vote for"	"Rural"	"Male"	40	"chadema"
2408	"CRC draft"	"Not sure"	"Rural"	"Female"	42	"nccr-mag"
2409	"Final draft"	"Vote for"	"Rural"	"Male"	60	"ccm"
2410	"Don't Know"	"Don't Know"	"Rural"	"Female"	40	"ccm"
2501	"Final draft"	"Vote against"	"Rural"	"Male"	37	"chadema"
2503	"Final draft"	"Vote for"	"Rural"	"Female"	32	"ccm"
2504	"Final draft"	"Vote for"	"Rural"	"Female"	84	"i don't"
2506	"Don't Know"	"Not sure"	"Rural"	"Male"	50	"ccm"
2507	"Final draft"	"Vote for"	"Rural"	"Female"	45	" none"
2508	"CRC draft"	"Vote against"	"Rural"	"Female"	27	"chadema"
2510	"CRC draft"	"Vote for"	"Rural"	"Male"	47	"chadema"
2512	"Final draft"	"Vote for"	"Rural"	"Female"	47	"ccm"
2601	"Don't Know"	"Vote against"	"Urban"	"Female"	58	"chadema"
2602	"CRC draft"	"Vote against"	"Urban"	"Male"	28	"chadema"
2603	"CRC draft"	"Vote for"	"Urban"	"Female"	35	"chadema"
2604	"CRC draft"	"Vote for"	"Urban"	"Female"	47	"ccm"
2605	"CRC draft"	"Vote for"	"Urban"	"Female"	28	
2606	"CRC draft"	"Vote for"	"Urban"	"Male"	35	"ccm"
2607	"Final draft"	"Vote for"	"Urban"	"Female"	54	
2608	"Final draft"	"Vote for"	"Urban"	"Male"	48	"ccm"
2609	"CRC draft"	"Vote against"	"Urban"	"Male"	51	" refused"
2610	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	65	"chadema"
2701	"Don't Know"	"Vote for"	"Rural"	"Male"	60	"ccm"
2702	"CRC draft"	"Vote for"	"Rural"	"Female"	48	"ccm"
2704	"Final draft"	"Vote for"	"Rural"	"Male"	40	"chadema"
2705	"CRC draft"	"Not sure"	"Rural"	"Female"	54	"chadema"
2706	"CRC draft"	"Vote for"	"Rural"	"Male"	21	"chadema"
2707	"Final draft"	"Vote against"	"Rural"	"Female"	37	"ccm"
2709	"CRC draft"	"Vote for"	"Rural"	"Male"	47	
2710	"Don't Know"	"Vote for"	"Rural"	"Male"	38	"ccm"
2801	"CRC draft"	"Vote for"	"Rural"	"Female"	49	"ccm"
2802	"CRC draft"	"Vote for"	"Rural"	"Female"	35	"ccm"
2803	"None"	"Vote against"	"Rural"	"Female"	49	"chadema"
2804	"CRC draft"	"Vote against"	"Rural"	"Male"	42	"chadema"
2805	"CRC draft"	"Vote for"	"Rural"	"Female"	45	"ccm"
2806	"CRC draft"	"Vote for"	"Rural"	"Female"	42	"cuf"
2807	"None"	"Not sure"	"Rural"	"Male"	55	"ccm"
2808	"Final draft"	"Vote for"	"Rural"	"Male"	69	"ccm"
2809	"Final draft"	"Not sure"	"Rural"	"Male"	56	"chadema"
2810	"Final draft"	"Vote for"	"Rural"	"Female"	20	"ccm"
2901	"Final draft"	"Vote against"	"Rural"	"Male"	54	"ccm"
2902	"Final draft"	"Vote for"	"Rural"	"Female"	23	"ccm"
2903	"Final draft"	"Vote for"	"Rural"	"Male"	44	"ccm"
2904	"Final draft"	"Vote against"	"Rural"	"Female"	51	"ccm"
2905	"CRC draft"	"Vote for"	"Rural"	"Male"	58	"ccm"
2907	"CRC draft"	"Vote against"	"Rural"	"Female"	32	"cuf"
2908	"Don't Know"	"Vote for"	"Rural"	"Male"	82	"ccm"
2909	"Don't Know"	"I am not going to vote"	"Rural"	"Female"	53	"ccm"
2910	"CRC draft"	"Vote for"	"Rural"	"Female"	35	"ccm"
2911	"Final draft"	"Vote against"	"Rural"	"Male"	37	"ccm"
3001	"None"	"Vote against"	"Rural"	"Male"	66	" none"
3003	"CRC draft"	"Vote against"	"Rural"	"Male"	33	"chadema"
3006	"CRC draft"	"Vote against"	"Rural"	"Male"	42	"chadema"
3007	"CRC draft"	"Vote against"	"Rural"	"Female"	56	"ccm"
3009	"Final draft"	"Vote against"	"Rural"	"Male"	46	" none"
3011	"Final draft"	"Vote against"	"Rural"	"Female"	30	"chadema"
3102	"Final draft"	"Vote against"	"Rural"	"Male"	45	" none"
3103	"CRC draft"	"Vote against"	"Rural"	"Male"	56	"ccm"
3104	"CRC draft"	"Vote against"	"Rural"	"Female"	26	"ccm"
3105	"CRC draft"	"Vote against"	"Rural"	"Male"	43	"ccm"
3106	"None"	"No Response"	"Rural"	"Male"	35	"chadema"
3108	"Final draft"	"Vote for"	"Rural"	"Male"	32	"chadema"
3109	"Final draft"	"Vote for"	"Rural"	"Female"	38	"nccr-mag"
3110	"CRC draft"	"Vote against"	"Rural"	"Male"	35	"chadema"
3201	"CRC draft"	"Vote for"	"Rural"	"Male"	49	
3203	"CRC draft"	"Vote against"	"Rural"	"Male"	54	"nld"
3205	"Don't Know"	"Vote for"	"Rural"	"Male"	51	"ccm"
3206	"Don't Know"	"Not sure"	"Rural"	"Male"	34	"ccm"
3207	"Final draft"	"Vote for"	"Rural"	"Male"	50	"ccm"
3208	"None"	"Not sure"	"Rural"	"Male"	30	"ccm"
3210	"CRC draft"	"Vote against"	"Rural"	"Male"	25	"ccm"
3212	"CRC draft"	"Vote for"	"Rural"	"Male"	72	"ccm"
3301	"Final draft"	"Vote against"	"Rural"	"Female"	42	"ccm"
3302	"Final draft"	"I am not going to vote"	"Rural"	"Male"	44	"ccm"
3303	"CRC draft"	"Vote against"	"Rural"	"Female"	29	"chadema"
3304	"CRC draft"	"Don't Know"	"Rural"	"Male"	35	"ccm"
3305	"CRC draft"	"Vote for"	"Rural"	"Female"	39	"ccm"
3306	"CRC draft"	"Vote for"	"Rural"	"Female"	20	"ccm"
3307	"Final draft"	"Not sure"	"Rural"	"Male"	29	"chadema"
3308	"Final draft"	"Vote for"	"Rural"	"Male"	26	" none"
3309	"Final draft"	"Vote for"	"Rural"	"Female"	20	"ccm"
3310	"Don't Know"	"Vote against"	"Rural"	"Male"	38	"ccm"
3402	"Don't Know"	"Don't Know"	"Rural"	"Male"	64	"  any on"
3403	"Final draft"	"Vote for"	"Rural"	"Female"	36	"ccm"
3404	"Don't Know"	"Not sure"	"Rural"	"Male"	50	" none"
3405	"CRC draft"	"Vote for"	"Rural"	"Male"	34	"nccr-mag"
3406	"CRC draft"	"Vote against"	"Rural"	"Male"	39	"chadema"
3407	"Final draft"	"Not sure"	"Rural"	"Male"	42	"chadema"
3408	"Final draft"	"Vote for"	"Rural"	"Male"	31	"ccm"
3410	"CRC draft"	"Vote against"	"Rural"	"Male"	57	"ccm"
3501	"Final draft"	"Vote for"	"Rural"	"Male"	70	"ccm"
3503	"CRC draft"	"Vote against"	"Rural"	"Male"	40	"cuf"
3506	"CRC draft"	"Vote for"	"Rural"	"Male"	68	"ccm"
3507	"CRC draft"	"Vote against"	"Rural"	"Female"	29	
3509	"Don't Know"	"Vote for"	"Rural"	"Female"	45	
3510	"Don't Know"	"Vote for"	"Rural"	"Male"	76	
3511	"Final draft"	"Vote for"	"Rural"	"Female"	20	"ccm"
3601	"Don't Know"	"Vote for"	"Urban"	"Female"	28	"chadema"
3602	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	36	
3603	"Don't Know"	"Vote for"	"Urban"	"Male"	70	"ccm"
3604	"CRC draft"	"Vote against"	"Urban"	"Male"	30	"ccm"
3605	"CRC draft"	"Vote for"	"Urban"	"Male"	66	" none"
3606	"CRC draft"	"Vote against"	"Urban"	"Female"	30	"ccm"
3607	"CRC draft"	"Vote for"	"Urban"	"Female"	51	"ccm"
3608	"CRC draft"	"Vote against"	"Urban"	"Male"	52	" refused"
3609	"None"	"Vote against"	"Urban"	"Female"	41	"chadema"
3702	"CRC draft"	"Vote for"	"Rural"	"Male"	57	
3703	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
3704	"Don't Know"	"Vote against"	"Rural"	"Male"	45	"ccm"
3705	"Don't Know"	"Don't Know"	"Rural"	"Female"	24	
3710	"Don't Know"	"Vote against"	"Rural"	"Male"	59	
3801	"CRC draft"	"Vote against"	"Rural"	"Male"	25	"ccm"
3802	"CRC draft"	"Not sure"	"Rural"	"Male"	34	"ccm"
3803	"Final draft"	"Vote for"	"Rural"	"Female"	19	"chadema"
3804	"CRC draft"	"Vote against"	"Rural"	"Male"	32	"ccm"
3805	"CRC draft"	"Vote against"	"Rural"	"Female"	34	" none"
3806	"None"	"Vote for"	"Rural"	"Female"	46	"chadema"
3807	"CRC draft"	"Vote for"	"Rural"	"Male"	27	" none"
3808	"CRC draft"	"Vote for"	"Rural"	"Female"	18	"chadema"
3809	"Don't Know"	"Not sure"	"Rural"	"Male"	58	"chadema"
3810	"Don't Know"	"Vote for"	"Rural"	"Male"	62	"ccm"
3901	"CRC draft"	"Vote for"	"Rural"	"Male"	27	
3902	"CRC draft"	"Vote against"	"Rural"	"Male"	33	"chadema"
3903	"Final draft"	"Vote for"	"Rural"	"Female"	27	"cuf"
3904	"CRC draft"	"Vote for"	"Rural"	"Male"	32	"nccr-mag"
3907	"CRC draft"	"Vote for"	"Rural"	"Male"	33	"ccm"
3911	"Don't Know"	"Vote for"	"Rural"	"Male"	47	"ccm"
4002	"CRC draft"	"Vote against"	"Urban"	"Female"	33	"chadema"
4004	"Final draft"	"Vote for"	"Urban"	"Female"	28	"ccm"
4005	"CRC draft"	"Vote for"	"Urban"	"Male"	22	" none"
4006	"Final draft"	"Vote for"	"Urban"	"Female"	22	"ccm"
4007	"Final draft"	"Vote for"	"Urban"	"Female"	40	"ccm"
4008	"Final draft"	"Vote for"	"Urban"	"Female"	32	
4009	"CRC draft"	"Vote against"	"Urban"	"Male"	44	"chadema"
4010	"Final draft"	"Vote against"	"Urban"	"Male"	61	
4101	"CRC draft"	"Vote against"	"Urban"	"Male"	18	"chadema"
4102	"Don't Know"	"Vote for"	"Urban"	"Female"	38	"ccm"
4104	"CRC draft"	"Vote for"	"Urban"	"Female"	30	"chadema"
4105	"CRC draft"	"I am not going to vote"	"Urban"	"Male"	46	" none"
4106	"CRC draft"	"Vote against"	"Urban"	"Male"	63	"ccm"
4107	"CRC draft"	"Vote for"	"Urban"	"Female"	37	"ccm"
4109	"CRC draft"	"Vote for"	"Urban"	"Female"	30	"ccm"
4201	"None"	"Vote for"	"Urban"	"Female"	26	"ccm"
4202	"Final draft"	"Vote for"	"Urban"	"Male"	46	"ccm"
4203	"CRC draft"	"Vote for"	"Urban"	"Male"	46	" none"
4204	"CRC draft"	"Vote against"	"Urban"	"Male"	31	" none"
4205	"None"	"Vote against"	"Urban"	"Male"	43	"chadema"
4206	"Don't Know"	"Vote for"	"Urban"	"Female"	23	" none"
4207	"Final draft"	"Vote against"	"Urban"	"Female"	46	"ccm"
4208	"CRC draft"	"Vote for"	"Urban"	"Female"	38	"chadema"
4209	"Final draft"	"Vote for"	"Urban"	"Female"	37	"ccm"
4210	"CRC draft"	"Vote against"	"Urban"	"Male"	43	"chadema"
4401	"CRC draft"	"Vote for"	"Rural"	"Female"	42	"chadema"
4403	"CRC draft"	"Vote against"	"Rural"	"Female"	44	"cuf"
4406	"Final draft"	"Not sure"	"Rural"	"Female"	50	"ccm"
4407	"Final draft"	"Vote for"	"Rural"	"Female"	25	"ccm"
4408	"Final draft"	"Vote for"	"Rural"	"Female"	24	"ccm"
4409	"CRC draft"	"Vote for"	"Rural"	"Female"	30	"ccm"
4410	"CRC draft"	"Vote against"	"Rural"	"Male"	43	"ccm"
4412	"Final draft"	"Vote for"	"Rural"	"Male"	20	"ccm"
4502	"CRC draft"	"Vote for"	"Rural"	"Male"	46	"ccm"
4503	"Don't Know"	"Vote against"	"Rural"	"Female"	45	"i don't"
4505	"CRC draft"	"Vote for"	"Rural"	"Male"	58	"cuf"
4506	"CRC draft"	"Vote for"	"Rural"	"Female"	22	"ccm"
4507	"Don't Know"	"Vote for"	"Rural"	"Female"	34	"ccm"
4508	"Final draft"	"Vote for"	"Rural"	"Male"	55	"ccm"
4509	"Final draft"	"Vote for"	"Rural"	"Male"	26	"chadema"
4510	"Final draft"	"Vote for"	"Rural"	"Female"	40	"chadema"
4604	"Don't Know"	"Vote for"	"Rural"	"Female"	57	"ccm"
4606	"Final draft"	"Vote for"	"Rural"	"Male"	37	
4608	"None"	"Vote against"	"Rural"	"Male"	52	"chadema"
4612	"Final draft"	"I am not going to vote"	"Rural"	"Female"	60	" none"
4702	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	57	"ccm"
4704	"CRC draft"	"Vote against"	"Rural"	"Female"	43	"chadema"
4705	"Don't Know"	"Vote for"	"Rural"	"Male"	45	"chadema"
4706	"CRC draft"	"Vote against"	"Rural"	"Male"	38	" none"
4707	"Final draft"	"Vote for"	"Rural"	"Female"	35	"ccm"
4709	"Final draft"	"Vote for"	"Rural"	"Male"	27	"ccm"
4710	"CRC draft"	"Vote for"	"Rural"	"Male"	49	"cuf"
4711	"Don't Know"	"Don't Know"	"Rural"	"Male"	29	"ccm"
4801	"Final draft"	"Vote for"	"Rural"	"Male"	52	"ccm"
4802	"Don't Know"	"Vote for"	"Rural"	"Male"	30	"ccm"
4803	"CRC draft"	"Vote for"	"Rural"	"Male"	57	"ccm"
4804	"Final draft"	"Vote for"	"Rural"	"Male"	69	"chadema"
4805	"Don't Know"	"Vote against"	"Rural"	"Female"	28	"ccm"
4806	"Final draft"	"Vote for"	"Rural"	"Female"	32	" none"
4808	"Final draft"	"Vote against"	"Rural"	"Male"	23	"ccm"
4901	"None"	"Not sure"	"Rural"	"Male"	43	"chadema"
4904	"CRC draft"	"Vote against"	"Rural"	"Male"	39	"ccm"
4908	"CRC draft"	"Don't Know"	"Rural"	"Female"	35	"ccm"
4911	"CRC draft"	"Vote against"	"Rural"	"Male"	36	" none"
5001	"Final draft"	"Vote for"	"Rural"	"Male"	42	"chadema"
5003	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	53	"ccm"
5004	"Final draft"	"Vote for"	"Rural"	"Female"	45	"ccm"
5005	"Final draft"	"I am not going to vote"	"Rural"	"Female"	51	"cuf"
5006	"Don't Know"	"Vote for"	"Rural"	"Female"	38	"ccm"
5007	"Don't Know"	"Vote against"	"Rural"	"Male"	24	
5009	"Final draft"	"Vote against"	"Rural"	"Male"	55	"ccm"
5010	"CRC draft"	"Vote against"	"Rural"	"Male"	59	
5101	"Final draft"	"Vote for"	"Urban"	"Male"	73	"chadema"
5102	"Final draft"	"Vote for"	"Urban"	"Male"	55	"chadema"
5103	"CRC draft"	"Not sure"	"Urban"	"Male"	55	"ccm"
5107	"CRC draft"	"Vote against"	"Urban"	"Female"	30	"ccm"
5108	"Don't Know"	"Vote for"	"Urban"	"Female"	51	"ccm"
5109	"CRC draft"	"Vote for"	"Urban"	"Female"	65	"ccm"
5110	"None"	"Vote for"	"Urban"	"Female"	36	"ccm"
5202	"Final draft"	"Vote for"	"Rural"	"Female"	31	" none"
5203	"Final draft"	"I am not going to vote"	"Rural"	"Male"	50	"ccm"
5206	"None"	"Don't Know"	"Rural"	"Female"	30	"ccm"
5208	"CRC draft"	"Vote against"	"Rural"	"Female"	32	"chadema"
5209	"Final draft"	"Vote for"	"Rural"	"Female"	24	"cuf"
